name,X682828,X682962,X682963,X682986,X699873,X699880,X701688,X702012,X702034,X702098,X702297,X702304,X702334,X702403,X702530,X702594,X702615,X702619,X702735,X703673,X706901,X706914,X711028
Achillea_millefolium,0,0,2,3,3,2,2,0,0,2,3,2,3,2,0,0,13,13,3,3,2,13,0
Aegopodium_podagraria,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Agrimonia_eupatoria,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Agrostis_capillaris,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajuga_genevensis,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajuga_reptans,0,0,0,0,0,0,0,0,3,0,0,13,0,13,3,0,1,0,0,0,2,0,0
Alchemilla_monticola,0,0,0,0,0,0,0,3,0,0,0,3,0,2,3,0,0,13,2,0,0,0,0
Alchemilla_xanthochlora,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium_lusitanicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Alopecurus_pratensis,0,0,0,0,0,0,0,3,2,0,0,2,0,3,13,38,68,3,2,0,0,13,0
Anemone_nemorosa,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anemone_pulsatilla,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Anthericum_ramosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Anthoxanthum_odoratum,0,0,0,0,0,0,0,3,13,0,0,38,0,3,3,0,0,0,2,0,0,0,2
Anthriscus_sylvestris,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,3,0,0,0,0
Anthyllis_vulneraria,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabis_hirsuta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Arenaria_serpyllifolia,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Arrhenatherum_elatius,0,0,0,0,0,0,13,0,0,0,3,38,68,3,3,13,38,3,38,0,2,1,13
Artemisia_campestris,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Asperula_cynanchica,2,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Bellis_perennis,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,0,3,0,0,3,0,0
Brachypodium_pinnatum,2,0,8,3,3,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Briza_media,0,0,2,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Bromus_erectus,0,3,3,68,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,68,0,0
Bromus_hordeaceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Bupleurum_falcatum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamagrostis_epigejos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Campanula_glomerata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
Campanula_patula,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,3,0,2,0,0
Campanula_rotundifolia,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,13,3,0,2,0
Capsella_bursa-pastoris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cardamine_pratensis,0,0,0,0,0,0,0,3,13,13,0,0,0,0,3,0,1,0,0,0,0,13,0
Carduus_nutans,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex_caryophyllea,2,8,3,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Carex_flacca,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex_humilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Carlina_acaulis,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carum_carvi,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
Centaurea_jacea,0,0,0,0,0,0,2,0,0,13,2,0,3,0,0,0,0,2,3,0,3,3,0
Centaurea_scabiosa,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Cerastium_arvense,2,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Cerastium_fontanum_ssp_vulgare,0,0,0,0,0,0,0,3,3,3,0,3,3,2,13,2,3,3,3,0,3,2,3
Chamaecytisus_ratisbonensis,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chenopodium_album,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cirsium_acaule,0,0,3,2,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cirsium_eriophorum,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cirsium_oleraceum,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Clinopodium_acinos,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colchicum_autumnale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
Convolvulus_arvensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Cotoneaster_integerrimus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crepis_biennis,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,38,0,2,2,0
Cynosurus_cristatus,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,3,0,2,0,0,0,0
Dactylis_glomerata,0,0,0,0,0,0,2,2,0,3,13,3,3,3,3,38,3,3,2,0,2,2,3
Daucus_carota,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,2,0,0
Deschampsia_cespitosa,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Dianthus_carthusianorum,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
Echium_vulgare,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elymus_repens,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,3,0
Equisetum_arvense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Equisetum_palustre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Erodium_cicutarium,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysimum_odoratum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphorbia_cyparissias,2,8,3,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Euphorbia_verrucosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Euphrasia_stricta,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festuca_ovina,0,38,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Festuca_pratensis,0,0,0,0,0,0,2,38,0,68,38,0,3,0,3,88,3,3,13,0,3,13,13
Festuca_rubra,0,0,0,0,0,0,2,13,88,0,0,0,0,0,3,0,0,0,3,0,0,0,0
Festuca_rupicola,2,0,0,0,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0
Festuca_trachyphylla,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filipendula_ulmaria,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0
Fragaria_viridis,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galatella_linosyris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Galium_glaucum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Galium_mollugo,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,0,38,13,2,0,3,0,0
Galium_verum,2,2,2,8,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,3,13,13,0
Gentianopsis_ciliata,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geranium_pratense,0,0,0,0,0,0,0,0,0,0,88,0,3,3,0,0,0,0,0,0,0,0,0
Glechoma_hederacea,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,13,2,0,0,0,13,0
Helianthemum_nummularium,2,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Helictotrichon_pratense,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helictotrichon_pubescens,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Heracleum_sphondylium,0,0,0,0,0,0,0,2,0,0,13,13,0,3,3,0,3,3,2,0,0,0,0
Hippocrepis_comosa,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Holcus_lanatus,0,0,0,0,0,0,0,68,13,13,0,68,3,3,3,0,38,3,0,0,0,0,0
Hypericum_maculatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Hypericum_perforatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Jacobaea_aquatica,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Juniperus_communis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knautia_arvensis,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
Koeleria_macrantha,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
Koeleria_pyramidata,2,3,8,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathyrus_pratensis,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,3,0,0,0,13,0
Leontodon_hispidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0
Leontodon_incanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Leucanthemum_vulgare,0,2,0,0,0,0,2,3,2,0,0,13,3,0,3,0,13,2,13,0,13,2,0
Linum_catharticum,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Lolium_perenne,0,0,0,0,0,0,0,0,0,0,0,0,3,38,3,0,0,3,0,0,0,0,0
Lotus_corniculatus,0,6,5,0,0,3,2,0,0,3,0,0,3,0,0,0,0,2,2,0,2,0,2
Luzula_campestris,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysimachia_nummularia,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicago_falcata,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Medicago_lupulina,0,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,13,0,0
Medicago_sativa,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Mentha_arvensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Myosotis_nemorosa,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neotinea_ustulata,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onobrychis_viciifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Origanum_vulgare,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Orobanche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Orobanche_lutea,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pastinaca_sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Persicaria_amphibia,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Persicaria_bistorta,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrorhagia_prolifera,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peucedanum_oreoselinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Phleum_phleoides,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Phleum_pratense,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,68,0,13,0,0,0,0,13
Pilosella_officinarum,2,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Pimpinella_major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
Pimpinella_saxifraga,2,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Pinus_sylvestris,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantago_lanceolata,0,8,2,3,2,0,0,3,13,3,3,13,3,3,3,2,3,3,13,0,3,3,0
Plantago_media,0,3,3,2,0,0,2,0,0,0,0,0,3,0,0,0,0,13,13,0,3,0,0
Poa_angustifolia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0
Poa_annua,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13
Poa_palustris,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poa_pratensis,0,0,0,0,0,0,0,3,0,38,3,0,3,3,3,13,2,3,2,0,0,0,13
Poa_trivialis,0,0,0,0,0,0,0,3,0,0,0,0,0,0,38,13,3,3,2,0,0,13,13
Polygala_comosa,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Polygonatum_odoratum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla_cinerea,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla_heptaphylla,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla_reptans,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
Potentilla_tabernaemontani,3,8,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunella_grandiflora,0,0,0,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunella_vulgaris,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus_acris,0,0,0,0,0,0,2,2,0,13,2,3,2,2,3,0,3,3,2,0,2,3,13
Ranunculus_auricomus,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ranunculus_bulbosus,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Ranunculus_repens,0,0,0,0,0,0,0,3,3,2,0,0,2,0,0,1,0,3,0,0,0,2,3
Ranunculus_walo-kochii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rhinanthus_alectorolophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Rhinanthus_minor,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,2,0,0
Rhinanthus_serotinus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumex_acetosa,0,0,0,0,0,0,0,3,1,13,2,0,0,3,3,1,3,3,3,0,2,3,13
Rumex_crispus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0
Rumex_thyrsiflorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Salvia_pratensis,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,38,3,3,0,0
Sanguisorba_minor,2,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Sanguisorba_officinalis,0,0,0,0,0,0,0,68,68,13,0,0,2,2,0,0,0,0,0,0,0,38,0
Saxifraga_granulata,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Scabiosa_columbaria,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scleranthus_annuus,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scorzoneroides_autumnalis,0,0,0,0,0,0,0,0,0,3,2,0,68,3,0,0,0,13,0,0,0,0,0
Securigera_varia,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedum_acre,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedum_album,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Sedum_rupestre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Sedum_sexangulare,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selinum_carvifolia,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Sesleria_albicans,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Silaum_silaus,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0
Silene_flos-cuculi,0,0,0,0,0,0,0,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0
Silene_nutans,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silene_otites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Stachys_recta,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Stellaria_graminea,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Stellaria_media,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2
Symphytum_officinale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Taraxacum_campylodes,0,0,0,0,0,0,0,3,2,13,3,38,3,38,13,13,38,68,38,0,13,3,13
Teucrium_chamaedrys,0,8,3,8,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Teucrium_montanum,0,3,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Thymus_praecox,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thymus_pulegioides,2,5,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Tragopogon_pratensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3,0,0
Trifolium_campestre,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trifolium_dubium,0,0,0,0,0,0,0,0,2,0,0,13,0,0,13,0,0,0,0,0,3,0,0
Trifolium_pratense,0,3,2,3,0,0,2,3,3,13,0,38,3,3,13,0,3,13,3,0,13,2,3
Trifolium_repens,0,8,0,0,0,0,0,13,13,0,0,38,3,13,0,3,0,13,2,0,0,0,13
Trisetum_flavescens,0,0,0,0,0,0,2,2,0,0,3,38,0,38,3,0,88,68,3,0,0,0,0
Urtica_dioica,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Valeriana_officinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Verbascum_lychnitis,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronica_arvensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,13
Veronica_austriaca,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Veronica_chamaedrys,0,0,0,0,0,0,2,2,2,0,2,13,0,3,3,0,3,3,3,0,0,0,13
Veronica_serpyllifolia,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veronica_spicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Vicia_cracca,0,0,0,0,0,0,2,0,0,13,0,3,3,0,2,0,0,0,0,0,0,2,0
Vicia_hirsuta,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Vicia_sativa,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicia_sepium,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,0,2,0,0,0,0
Vicia_tetrasperma,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Viola_hirta,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
