id,location,constructionYear,sandPerc,phosphorus,phosphorusClass,longitude,latitude,longitude_center,latitude_center
01_m,Parkstetten-Reibersdorf,2008,38.4,4,A,12.597537238060442,48.903808955355075,12.599519797194445,48.90247647168155
02_m,Parkstetten-Reibersdorf,2008,48.5,3,A,12.597510924945242,48.90389002185373,12.599519797194445,48.90247647168155
03_m,Parkstetten-Reibersdorf,2008,45.5,1,A,12.610995628382327,48.90343262627256,12.599519797194445,48.90247647168155
04_m,Parkstetten-Reibersdorf,2008,65.3,3,A,12.610996945138623,48.90354052602097,12.599519797194445,48.90247647168155
05_m,Oebling,2012,25.5,5,A,12.62363770664428,48.898859774528795,12.634190697438438,48.89536911714925
06_m,Oebling,2012,24.4,11,C,12.623652800459118,48.898976591907626,12.634190697438438,48.89536911714925
07_m,Oebling,2012,16.2,6,B,12.627280734313977,48.901151000584655,12.634190697438438,48.89536911714925
08_m,Oebling,2012,30.1,10,C,12.627117520827046,48.90118785809902,12.634190697438438,48.89536911714925
09_m,Oebling,2010,24.8,10,C,12.638287691269726,48.891504809610865,12.634190697438438,48.89536911714925
10_m,Oebling,2010,25.3,13,C,12.638234522052544,48.89161301122031,12.634190697438438,48.89536911714925
11_m,Oebling,2010,54.3,6,B,12.630091698516445,48.892575046085874,12.634190697438438,48.89536911714925
12_m,Oebling,2010,47.4,20,C,12.630090454288286,48.892476138152404,12.634190697438438,48.89536911714925
13_m,Oebling,2006,42.4,23,D,12.64469445869606,48.89977797062494,12.634190697438438,48.89536911714925
14_m,Oebling,2006,42.3,32,E,12.64469364837753,48.89971502947072,12.634190697438438,48.89536911714925
15_m,Oebling,2006,49.4,33,E,12.641205843961082,48.88829635340179,12.634190697438438,48.89536911714925
16_m,Oebling,2006,41.2,5,B,12.641301289855154,48.88829582210405,12.634190697438438,48.89536911714925
17_o,Hermannsdorf-Ainbrach,2016,31.2,9,B,12.706794696258832,48.89016968675158,12.709148683789348,48.88884682062423
18_m,Hermannsdorf-Ainbrach,2016,36.7,2,A,12.706725631085211,48.89010716453537,12.709148683789348,48.88884682062423
19_o,Hermannsdorf-Ainbrach,2016,31.5,19,C,12.711585627777804,48.88760437405792,12.709148683789348,48.88884682062423
20_m,Hermannsdorf-Ainbrach,2016,37.8,3,A,12.711488780035545,48.88750605715206,12.709148683789348,48.88884682062423
21_m,Pfelling,2008,27.2,1,A,12.755709817019941,48.878448002346076,12.754749690396189,48.878813953399245
22_m,Pfelling,2008,41.9,2,A,12.755614663300838,48.87846661107058,12.754749690396189,48.878813953399245
23_m,Pfelling,2008,55.8,3,A,12.757717874025566,48.8805120347326,12.754749690396189,48.878813953399245
24_m,Pfelling,2008,51.4,2,A,12.75763675762187,48.88055752969254,12.754749690396189,48.878813953399245
25_m,Irlbach,2011,53.8,2,A,12.74011848473606,48.84556537610821,12.748096376792336,48.84733181297071
26_m,Irlbach,2011,42.2,7,B,12.740300178289898,48.84772237190308,12.748096376792336,48.84733181297071
27_m,Irlbach,2011,16.3,13,C,12.738233975511731,48.84341930515217,12.748096376792336,48.84733181297071
28_m,Irlbach,2011,15,15,C,12.73820553974913,48.84333855622659,12.748096376792336,48.84733181297071
29_m,Mariaposching,2010,29.3,29,D,12.808806779389384,48.82570699806835,12.80880091188479,48.825765489860004
30_m,Mariaposching,2010,51.6,2,A,12.808795044380195,48.82582398165165,12.80880091188479,48.825765489860004
31_m,Irlbach,2010,31.6,3,A,12.756621948860275,48.84855152436712,12.748096376792336,48.84733181297071
32_m,Irlbach,2010,32.2,5,B,12.756744836064826,48.84856870183449,12.748096376792336,48.84733181297071
33_m,Irlbach,2003,22.9,3,A,12.757568656881476,48.84898592727082,12.748096376792336,48.84733181297071
34_o,Irlbach,2003,47.1,4,A,12.757526426982649,48.84889628150444,12.748096376792336,48.84733181297071
35_m,Schwarzach-Sulzbach,2016,48.2,30,D,12.84179540713443,48.847816730727835,12.84349412615694,48.8457337962031
36_m,Schwarzach-Sulzbach,2016,31.5,1,A,12.841631170903097,48.84777296885285,12.84349412615694,48.8457337962031
37_m,Schwarzach-Sulzbach,2016,29.3,32,E,12.845308262046915,48.84362753637254,12.84349412615694,48.8457337962031
38_m,Schwarzach-Sulzbach,2016,46.2,9,B,12.84524166454332,48.84371794885917,12.84349412615694,48.8457337962031
39_m,Natternberg,2013,10.4,9,B,12.921338105312287,48.83364748973141,12.928359911149723,48.83090440949099
40_m,Natternberg,2013,50.1,1,A,12.921199436913708,48.83351371237111,12.928359911149723,48.83090440949099
41_m,Natternberg,2013,23.2,9,B,12.93548660324708,48.82830886114297,12.928359911149723,48.83090440949099
42_m,Natternberg,2013,16.8,4,A,12.935415499125817,48.82814757471847,12.928359911149723,48.83090440949099
43_m,Deggendorf_West,2007,19.1,3,A,12.928336043819732,48.837880693502065,12.931233886153311,48.836946787148406
44_m,Deggendorf_West,2007,41.1,1,A,12.928432883955185,48.83796084484223,12.931233886153311,48.836946787148406
45_m,Deggendorf_West,2007,27,5,B,12.934048254764255,48.83591913481669,12.931233886153311,48.836946787148406
46_m,Deggendorf_West,2007,43.2,3,A,12.934118362074075,48.836026475432625,12.931233886153311,48.836946787148406
47_m,Fischerdorf,2016,22.4,19,C,12.944551407040963,48.796842206505396,12.950872323526493,48.80337026698668
48_m,Fischerdorf,2016,11.6,2,A,12.944402380083273,48.79687939848054,12.950872323526493,48.80337026698668
49_m,Fischerdorf,2016,11.1,2,A,12.957362614902214,48.809856461953544,12.950872323526493,48.80337026698668
50_m,Fischerdorf,2016,11,6,B,12.957172892079518,48.80990300100724,12.950872323526493,48.80337026698668
51_m,Stoegermuehlbach,2002,29,6,B,12.965380203542438,48.77716476297942,12.969722600986806,48.778079650635725
52_m,Stoegermuehlbach,2002,32.3,10,C,12.965395360306639,48.77724556863553,12.969722600986806,48.778079650635725
53_m,Stoegermuehlbach,2002,14.9,1,A,12.961737468299212,48.77664669590481,12.969722600986806,48.778079650635725
54_m,Stoegermuehlbach,2002,18.8,1,A,12.961684599960059,48.77672807007906,12.969722600986806,48.778079650635725
55_m,Hofkirchen,2012,43.9,54,E,13.116198630111814,48.67502114579683,13.115585059814347,48.678442079852644
56_m,Hofkirchen,2012,43,39,E,13.116173068611658,48.675093335497074,13.115585059814347,48.678442079852644
57_o,Saubach,2006,33.5,4,A,12.950230494345783,48.82508579270807,12.950202154760866,48.825027575580236
58_m,Saubach,2006,25.6,4,A,12.950173815175951,48.8249693584524,12.950202154760866,48.825027575580236
59_m,Hofkirchen,2012,34,5,B,13.114936649432046,48.68182288390656,13.115585059814347,48.678442079852644
60_m,Hofkirchen,2012,39,13,C,13.115031891101868,48.6818309542101,13.115585059814347,48.678442079852644
61_o,Muehlheim-Ruckasing,2007,28,3,A,13.020192670512074,48.7164239433827,13.020164404340083,48.71637023802181
62_m,Muehlheim-Ruckasing,2007,45.5,1,A,13.02013613816809,48.71631653266091,13.020164404340083,48.71637023802181
63_m,Parkstetten-Reibersdorf,2008,45.4,4,A,12.590113664041995,48.900061495183536,12.599519797194445,48.90247647168155
64_m,Parkstetten-Reibersdorf,2008,90.8,1,A,12.589964382598035,48.900125205403434,12.599519797194445,48.90247647168155
65_m,Stoegermuehlbach,2002,49.4,3,A,12.982109011141786,48.780305595465215,12.969722600986806,48.778079650635725
66_m,Stoegermuehlbach,2002,55.7,4,A,12.9820289626707,48.780387210750334,12.969722600986806,48.778079650635725
67_o,Pfelling,2008,37.3,5,B,12.750854516285486,48.877418656692726,12.754749690396189,48.878813953399245
68_m,Pfelling,2008,51.5,3,A,12.750964514123426,48.87748088586094,12.754749690396189,48.878813953399245
69_m,Irlbach,2011,57.2,1,A,12.747842765766404,48.849166380162465,12.748096376792336,48.84733181297071
70_m,Irlbach,2011,46.6,3,A,12.747800955080923,48.849103705177704,12.748096376792336,48.84733181297071
